'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Page number 1,"'Chapter 12",'0,'63.23242188
'1,'Title 1,"'INCENTIVE MODELS OF THE DEFENSE PROCUREMENT PROCESS *",'1,'56.68945313
'1,'Text 1,"'WILLIAM P. ROGERSON Northwestern University",'2,'57.95898438
'1,'Section header 1,"'Contents",'3,'42.26074219
'1,'Table 1,"",'4,'34.20410156
'1,'Text 2,"'* This research was supported by the Smith Richardson Foundation.",'5,'59.81445313
'1,'Footer 1,"'Handbook of Defense Economics, Volume 1, Edited by K. Hartley and T. Sandler C 1995 Elsevier Science B.V. All rights reserved",'6,'73.38867188
'2,'Header 1,"'310",'7,'55.17578125
'2,'Header 2,"'W.P. Rogerson",'8,'84.47265625
'2,'Header 3,"'7.3. Three-level models 342 8. Conclusion 342 References 343",'9,'39.99023438
'2,'Section header 2,"'Abstract",'10,'62.79296875
'2,'Text 3,"'Economic theorists have devoted considerable attention to analyzing models of closely related incentive contracting problems that arise in the study of public procurement, private procurement, regulation, the theory of the firm, the theory of organizations, and managerial compensation. The purpose of this chapter is to provide an introduction to the incentive models literature as it applies to defense procurement.",'11,'96.33789063
'2,'Section header 3,"'Keywords",'12,'78.66210938
'2,'Text 4,"'defense procurement, contracts, incentives, principal agent models, R&D, economies of scale, innovation, moral hazard, strategic behavior, competition, auctions",'13,'96.28906250
'3,'Header 4,"'Ch. 12: Incentive Models of the Defense Procurement Process",'14,'67.38281250
'3,'Page number 2,"'311",'15,'94.38476563
'3,'Section header 4,"'1. Introduction",'16,'88.23242188
'3,'Text 5,"'Over the past twenty years, economic theorists have become increasingly aware of the fact that many economic problems can be usefully analyzed by explicitly considering the nature of actors' limited information and the role that economic institutions play in shaping outcomes through affecting actors' incentives and strategic behavior. Information economics and game theory have had a major impact on economists' view of almost all branches of economics. As part of this over-all ferment of ideas and research, theorists have devoted considerable attention to analyzing incentive contracting problems that arise in the study of public procurement, private procurement, regulation, the theory of the firm, the theory of organizations, and managerial compensation. Many of the same abstract themes and ideas arise in all of these areas and, in fact, many of these abstract topics and themes have become distinct subjects of study themselves. Even the number of theory papers analyzing defense procurement per se is quite large. However, the entire literature analyzing models relevant to defense procurement is many times larger. The purpose of this chapter is to provide an introduction to the incentive models literature that is relevant to defense procurement. Government undeniably faces an incredibly complex and multi-faceted incentive problem in military procurement. Defense firms have private information and not all their actions can be monitored. Huge uncertainties pervade the process and complete long-term contracts are generally impossible to write and difficult to enforce. Much of the procurement process occurs in a situation of bi-lateral monopoly and both sides of the market are wary of making specific investments that will reduce their bargaining power. R&D is a key output of the process and the inherent difficulty of objectively measuring the quality of new ideas adds immeasurably to the incentive problem. Finally, on top of everything else, ""government"" in reality is not a single rational actor, but is itself a complex hierarchical institution, and incentive problems between actors within government are important in themselves and also impact the way that government is able to interact with defense firms.",'17,'26.24511719
'3,'Text 6,"'A number of excellent surveys and overviews exist that are complementary to this one. Less technical discussions of incentive models and their role in explaining defense procurement are contained in Baron (1993), Rogerson (1994) and Sandler and Hartley (1995). Discussions of incentive models more generally, with no particular focus on defense procurement are contained in Baron (1989), Besanko and Sappington (1987), Caillaud et al. (1988), and Sappington (1991). A more thorough textbook-like treatment of many of the models discussed in this chapter is contained in Laffont and Tirole (1993). A classic discussion of incentives in procurement that predates the modern incentives literature, and is still well worth reading, is by Scherer (1964).",'18,'67.67578125
'3,'Text 7,"'This chapter will rely on the American procurement system as a source for stylized facts and observations about real behavior. Since the nature of the procurement problem and the procurement system in place is very similar across the United States and most other Western countries, most of the conclusions of this chapter apply equally",'19,'81.15234375
'4,'Page number 3,"'312",'20,'98.04687500
'4,'Header 5,"'W.P. Rogerson",'21,'96.38671875
'4,'Text 8,"'well to the procurement systems in other Western countries. However, there are some differences. In general, other countries have smaller domestic markets, and rely to a greater extent on joint ventures with other countries, imports, and international sales. See Sandler and Hartley (1995) for a more complete discussion of other countries' procurement systems and how they compare to the US system.",'22,'97.80273438
'4,'Text 9,"'This chapter proceeds as follows. Section 2 provides an economic overview of important features of the procurement problem and the procurement process. Sections 3 and 4 describe models of a stylized one-shot procurement problem that will be called the simple procurement problem (SPP). Section 3 considers the case of a single agent and Section 4 considers the case of multiple agents. Since much of the incentives literature consists of variants of the basic models described in Section 3 these models are discussed in considerable detail. Section 5 considers R&D, and Section 6 considers multiple periods of production. All of the preceding sections focus on the incentive problem between government and defense firms. Section 7 broadens the scope of the analysis to consider incentive problems within government.",'23,'97.85156250
'4,'Section header 5,"'2. Background 1",'24,'81.39648438
'4,'Text 10,"'2.1. Introduction",'25,'64.25781250
'4,'Text 11,"'The incentive problem between government and defense firms is shaped by four underlying economic characteristics. This section will begin by describing these four characteristics and then go on to discuss some of their consequences for procurement policy.",'26,'95.80078125
'4,'Text 12,"'2.2. Characteristic #1: Research and development",'27,'66.45507813
'4,'Text 13,"'A defining characteristic of weapons procurement is the constant pursuit of improved performance and capabilities through technological advance. Thus, innovation is at least as important a product of the defense sector as the physical products that embody the new ideas. As will be argued below, innovation is an inherently difficult product to purchase, and this creates the need for providing incentives for innovation.",'28,'96.04492188
'4,'Text 14,"'2.3. Characteristic #2: Uncertainty",'29,'57.56835938
'4,'Text 15,"'Massive uncertainties permeate the procurement process. Peck and Scherer (1962) and Scherer (1964) distinguish between internal and external uncertainty. Internal uncertainty is uncertainty due to technological unknowns and is especially high in the design phase of a new weapon. However, even after production begins, most",'30,'94.43359375
'4,'Text 16,"'1 This section draws on Rogerson (1994).",'31,'38.25683594
'5,'Header 6,"'Ch. 12: Incentive Models of the Defense Procurement Process",'32,'82.86132813
'5,'Page number 4,"'313",'33,'93.84765625
'5,'Text 17,"'products continue to evolve in order to incorporate new technologies, fix unanticipated problems, etc. Thus, major uncertainties about cost and design typically continue into production. External uncertainty is uncertainty in the demand for a weapon due to changes in the external threat, changes in the availability of substitute weapons, or simply changes in Congress's willingness to purchase certain weapons. As events of the early 1990s make abundantly clear, external uncertainties are also enormous for most weapons systems.",'34,'98.48632813
'5,'Text 18,"'A major consequence of these large uncertainties is that the Department of Defense (DoD) typically does not find it feasible or desirable to sign long-term fixed-price production contracts. In the design phase, the ultimate nature of the final weapon is not yet known. Even after production begins, the weapon will continue to evolve in unanticipated ways and DoD's demand will change in unanticipated ways. Thus long- term fixed-price contracts for the entire decade or more long production run typical of most weapons systems are thought to be infeasible² DoD's failed attempt to use such contracts in the 1960s (which was referred to as the total package procurement approach) is generally thought to have conclusively demonstrated the infeasibility of this approach [Burnett and Scherer (1990, pp. 304-305)]. Rather, production contracts are signed for one annual lot of production at a time on an annual basis.",'35,'97.41210938
'5,'Text 19,"'In fact, these same uncertainties typically mean that even fixed-price annual contracts are difficult to fully enforce. Unanticipated changes almost always occur and these result in substantial renegotiations during the life of the contract.",'36,'80.76171875
'5,'Section header 6,"'2.4. Characteristic #3: Economies of scale in production",'37,'91.21093750
'5,'Text 20,"'Within most sectors of the defense industry, there are multiple firms that would be capable ex-ante of designing and producing a given weapons system. Therefore economies of scale do not appear to preclude the existence of multiple competitors at the beginning of a program. Furthermore, design expenditures are relatively small in the early phases of a program, and, given uncertainties at the design stage, it is often sensible to pursue multiple design strategies since it is not clear which will work best. The result is that DoD very typically funds two design approaches through to the stage where prototypes are built. Thus, economies of scale do not preclude the existence of competition through to the end of the design phase.",'38,'96.67968750
'5,'Text 21,"'However, production is another matter. Given the relatively small quantities purchased of most weapons systems, it is generally thought to be completely uneconomic to have multiple firms produce the same weapon system. Furthermore, the same reasoning implies that it is uneconomic to have two or three designs enter",'39,'92.48046875
'5,'Text 22,"'2 Note that the possibility of unanticipated price inflation is not generally a major problem. This can be, and is, dealt with fairly well through using inflation adjustment formulas based on price indices for various industrial products. It is the fundamental uncertainty over the nature of the product and the demand for it that prevents the use of long-term contracts.",'40,'64.94140625
'6,'Page number 5,"'314",'41,'98.38867188
'6,'Header 7,"'W.P. Rogerson",'42,'96.82617188
'6,'Text 23,"'production that are relatively good substitutes for one another, and to buy some of each. Dramatic cost reductions could generally be achieved by purchasing larger quantities of only one design. Therefore, it is generally the case that production of almost all major weapons systems occurs in a sole source environment. Although the existence of mild substitutes may create some competitive pressures in some cases, there will not typically be a close substitute for any major system and thus the effect of competition between substitutes is limited.",'43,'97.90039063
'6,'Text 24,"'The major implication of this is that prices cannot be competitively determined. As explained above, at the end of the design phase when there is still competition, pervasive uncertainties prevent the signing of a single production contract for the entire production run. Thus the bulk of all production contracts will be negotiated with a sole source.",'44,'96.14257813
'6,'Text 25,"'Government's response to this has been to base prices on estimated costs. A fixed price is typically negotiated for each annual production lot. However, the fixed price is determined largely by historic and projected accounting costs, both of which are carefully and meticulously audited. A ""profit"" term is also added to compensate firms for the cost of capital and risk-bearing [Rogerson (1992c)]. Thus, during the production phase, the sole source producer operates much as does a regulated utility with a fairly similar type of incentive for cost efficiency. If it manages to find a new way to lower its costs, it will keep the benefit for the current production but government will eventually receive the benefit when new prices for future production are negotiated.",'45,'95.94726563
'6,'Text 26,"'Even the extent to which annual fixed-price contracts are truly fixed price is open to question. Under the Truth in Negotiations Act (TINA), defense contractors must submit detailed ""current accurate and complete"" cost estimates when they negotiate the price of a contract with DoD. Firms that achieve large unpredicted cost reductions therefore expose themselves to a significant risk of prosecution for failing to reveal all they knew at the time of the negotiation. In this way, TINA converts a fixed-price contract into something more closely resembling a cost-reimbursement contract [Kovacic (1991, Section 3.2)].",'46,'95.84960938
'6,'Section header 7,"'2.5. Characteristic #4: Government is the sole buyer",'47,'85.88867188
'6,'Text 27,"'Government is the only possible buyer of most weapons 3 Furthermore, many of the technologies and skills required to create and produce weapons systems are relatively specific to the weapons industry. The main consequence of this is that it creates a major hold-up problem [Williamson (1985)]. At the R&D phase, firms may worry that if they invest their own funds to create ideas for weapons systems, they will never recover these sunk expenses. At the production phase, firms may worry that they will never recover their investments in physical capital which has little use outside the",'48,'97.11914063
'6,'Text 28,"'3 The government strictly regulates foreign sales SO can be viewed as exercising control over these sales as well.",'49,'43.67675781
'7,'Header 8,"'Ch. 12: Incentive Models of the Defense Procurement Process",'50,'72.26562500
'7,'Page number 6,"'315",'51,'70.75195313
'7,'Text 29,"'defense industry. More generally, one of the main assets of any defense firm is its human capital embodied in the knowledge and working relationships of its design team members. Firms may worry that expenditures to create better design teams will never be recovered since there is no good alternative use for this asset.",'52,'97.55859375
'7,'Text 30,"'Government has responded to firms' fears to invest in specific assets in three ways. First, it has become a purchaser of the intermediate product ""R&D"", as well as the final product, ""functioning weapons systems"". That is, government directly funds a large portion of defense-related R&D. In most purely commercial markets, consumers of course do not purchase R&D. Rather they only purchase final products if they value the results of the R&D as embodied in the product. One reason for this is that the direct purchase of R&D is complicated by difficult incentive problems. Thus, by responding to the hold-up problem and directly funding R&D, government has created a new incentive problem for itself. How can it induce defense firms to perform good R&D?",'53,'97.31445313
